desc,title,date,time,place,abstract,biography,author
YEAR,2016
ENTRY,Assessing Wireless Communication Systems,"Feb. 17",7 PM,McNutt 211,"Wireless communications systems and networks have become an accepted means of connecting information and control system assets. Because many critical assets are now connected to networks wirelessly, testing the security of such systems has become a fundamental step in audits, assessments, and red teaming exercises. This talk discusses the role of challenges faces in assessing the security of wireless systems and networks, and provides insight into the basic gear and tools required in assessing 802.11a/b/g/n wireless networks.","William D. Atkins is a Principal Member of Technical Staff in the Cyber Physical Security Department at Sandia National Laboratories, where he conducts information assurance research and engages in red teaming exercises to secure critical information and control system infrastructures against attack from a variety of adversaries. He is the Program Lead of Sandia's Information Design Assurance Red Team (IDART). Atkins received both Masters and Bachelors of Science degrees in Computer Engineering from the University of Missouri-Rolla, now the Missouri University of Science and Technology, in 2007 and 2005, respectively. His research interests include wireless communication systems, communications protocol analysis, embedded systems design, and reverse engineering.",William Atkins of Sandia National Laboratories
ENTRY,Blue Teaming: From Professional to Personal,Sep. 21,7 PM,CS 207,"Getting paid to think like attackers makes you learn a few things about keeping actual attackers at bay. This talk overviews many of the measures I personally take to keep my data as safe as possible on the big, bad Internet. From operating system configuration and full-disk encryption to VPNs and reverting virtual machines, come to learn some new tricks and share your own!","William D. Atkins is a Principal Member of Technical Staff in the Cyber Physical Security Department at Sandia National Laboratories, where he conducts information assurance research and engages in red teaming exercises to secure critical information and control system infrastructures against attack from a variety of adversaries. He is the Program Lead of Sandia’s Information Design Assurance Red Team (IDART). Atkins received both Masters and Bachelors of Science degrees in Computer Engineering from the University of Missouri-Rolla, now the Missouri University of Science and Technology, in 2007 and 2005, respectively.",William D. Atkins
ENTRY,A Primer on Zero Knowledge Proof,Apr. 14,7 PM,CS 207,"Advanced technologies in various fields bring us benefits and enhance our lives. However, magnified power and capability have been given to the attackers by technology as well. In security protocol proposed to resolve authentication and identify problems. ZKPs are interactive, so one party can convince the other party the some assertion is true without revealing anything else. The seemly contradictory definition makes the ZKPs very powerful tools for the design of secure cryptographic protocols. Don’t miss this basic tutorial that will cover its background, important concepts, examples, applications, and future direction.","Li Feng received her Ph.D. in Computer Science from Missouri University of Science and Technology (Missouri S&T) in 2015. Her research interest is in the area of Computer Security in distributed embedded system that involves security protocol analysis and information flow quantification in cross-disciplinary architectures. She now works as Post Doctoral Fellow at Missouri S&T and will be an Assistant Professor of Math, Computer Science and Physics at Capital University, Columbus, OH in fall 2016.",Dr. Li Feng
ENTRY,Enterprise Security,Nov. 29,7-9 PM,CS 216,"The Internet of Things (IoT) is being used by adversaries to develop botnets for Distributed Denial of Service attacks. Industrial control systems, critical infrastructure, and even cars are becoming targets of attacks. The average time to detect and respond to security incidents is increasing. This talk will address the challenges of defending a modern enterprise: tools, risk management and resource allocation, threat modeling and risk analysis, Lockheed Martin’s Cyber Kill Chain, human factors of information security, topics in security architecture, and motivations and behaviors of adversaries. We will also look at why current and historic defense mechanisms have failed.","Stefan Maerz is a Computer Information Security Specialist at Los Alamos National Laboratory (LANL),a contractor to the Department of Energy’s National Nuclear Security Administration.He works in the Office of the Chief Information Officer, providing governance to LANL’s information security program. Prior to that, Stefan consulted in healthcare,developed security programs,and supported an enterprise network as a systems administrator. He is a recent graduate of Missouri S&amp;T.",Stefan Maerz
ENTRY,Lan Tap Build,Nov. 9,7 PM,CS 207,"Come build a passive network monitoring tool with us! It’s $15 for non-ACM members to participate and $12 for ACM members. The last day to sign up for this event is October 26, 2016.","N/A",ACM Security Officers
ENTRY,Physical Security,Oct. 14,7 PM,CS 207,"ACM SIG-Security presents an introduction to physical security. You’re only as strong as your weakest link. Learn the basics of lock picking and get hands-on experience with practice locks.",N/A,ACM Security Officers
ENTRY,Post Exploitation by Tim Malcomvetter,Mar. 24,7 PM,CS 207,"You, as the attacker, popped a shell on your target host. Now what? Escalating privileges, rifling for treasure, gleaming what you can, pivoting deeper into your target environment, and maintaining a persistent connection should be your next objectives. This is 'post-exploitation', the important but often forgotten or poorly executed phase of offensive security testing.","Tim MalcomVetter has fifteen years experience in IT, writing code, and securing systems.  Currently, Tim is employed as a security consultant in Optiv’s software security group (formerly Accuvant & FishNet Security), conducting numerous penetration tests, code reviews, and leading teams of security testers on high profile assessments.  Previously, Tim led teams of .NET developers continuously integrating new features into an e-commerce platform using agile methodologies.  Tim is Optiv’s top blogger on offensive security topics and has presented in numerous venues, including Black Hat USA, Security BSides, ArchC0N, Secure World Expo, and the St. Louis Days of .NET Conference.  Tim has several security certifications, a masters in information assurance, and held a doctoral study fellowship at Missouri S&T.",Tim MalcomVetter
ENTRY,CCDC Recruitment Drive,Oct. 26,7 PM,CS 207,"Does the idea of defending a network of computers from hackers around the world excite you? Learn how you can get practical experience to do just that by competing in Missouri S&T’s Collegiate Cyber Defense Competition Team!","N/A",ACM Security Officers
ENTRY,Security Internships and Cyber Defense Team Info,Aug. 31,7 PM,CS 207,"Come learn what it takes to land an internship in computer security, as well as the details and work involved. Listen what your fellow students have to say about their experiences at institutions such as the FBI. Learn about our Cyber Defense Team, and how you can get involved.","N/A",ACM Security Officers
