Year,Course,Course Title,Description,
2020,CompSci 2500,Algorithms,Intro to basic algorithms.,,Undergrad + Grad
2020,CompSci 3600,Intro to Computer Security,"Intro to Computer/Cyber Security, encryption, networking, etc. Taught by Patrick Taylor",,Grad
2020,CompSci 3601,Digital Forensics,"Digital forensics, legal procedures, find data in hard drives, taught by Karl Lutzen",,
2020,CompSci 4001,Intro to Cyber Security Offense,"Offensive Security, Mobile App Security, Taught by Sammie Bush in spring semesters",,
2020,CompSci 4601,Comp Network Concepts and Technology,"Computer network concepts and new concepts. Construction, operation and management.",,
2020,CompSci 5402,Intro to Data Mining,"Intro to data mining with experience. Classification, clustering, outlier/novelty detection, etc.",,
2020,CompSci 5500,Structure of a Compiler,Learn how to build a compiler. Learn how a language works. Recommended by most government labs.,,
2020,CompSci 5600,Computer Networks,"Dedicated class to computer networking, basics and some advanced. Taught by Patrick Taylor",,
2020,CompSci 5601,Security Operations and Management,Management and security of digital infrestructure. Taught by system admin Karl Lutzen,,
2020,CompSci 5602,Intro to Cryptography,Intro to the fundamentals of cryptography.,,
2020,CompSci 6200,Algorithmics II,Advanced algorithms.,,
2020,CompSci 6304,Cloud Computing and Big Data Management,"Privacy, security and management of cloud computing and big data.",,
2020,CompSci 6600,Formal Methods in Computer Security,"Learn about vulnerabilities, threats and how to mitigate different attacks.",,
2020,CompSci 6601,Privacy Preserving Data Integration and Analysis,"Basic protocols in statistic and cryptography, learn about sanitation and privacy-preserving techniques",,
2020,CompSci 6602,Network Performance Analysis,Modeling and analysis of computer networks.,,
2020,CompSci 6603,Advanced Topics in Wireless Networks,Fundamentals and recent advances in wireless networking,,
2020,CompSci 6605,Advanced Network Security,"Authentication, denial of service and other security issues on wired and wireless networks.",,
IST,,,,,
2020,IS&T 3321,Network Performance Design and Management,"Design, manage and deply computer networks and protocols.",,
2020,IS&T 3333,Data Networks and Information Security,Current/New networking and information security priciples,,
2020,IS&T 3343,Systems Analysis,"Buisiness information systems are analyzed, designed and introduced into the buisiness environment.",,
2020,IS&T 4780,Human and Organizational Factors in Cybersecurity,"Human factors in cybersecurity and information assurance. Fraud prevention, insider threat detection, etc.",,
2020,IS&T 5652,Advanced Web Development,"Dynamic web interaction. Hands-on approach with servers, mobile software development, etc.",,
2020,IS&T 6336,Foundations of Internet Computing,Computer networking and website information security are discussed. ,,
2020,IS&T 6443,Information Retrieval and Analysis,"Storage and retreival systems, text mining, collaborative filtering, etc.",,
2020,IS&T 6448,Building the Data Warehouse,"Data modeling and processes to build a data warehouse. Security, schemes, web access, etc.",,
2020,IS&T 6780,Adv Human and Organizational Factors in Cybersecurity,"Current challenges in protecting integrity, availability and confidentiality of information.",,
CompEng,,,,,
2020,CompEng 5410,Intro to Computer Communication Networks,"Design of computer networks, protocols, archetecture and performance. Hardware-side networking.",,
2020,CompEng 5420,Intro to Network Security,"Network management, testing and security. Key encryption, management, intrusion detection, etc.",,
2020,CompEng 5430,Wireless Networks,"Transmission fundamentals, coding techniques, error control, satellite and cellular networks, etc.",,
2020,CompEng 5510,Fault Tolerant Digital Systems,"Fault models, hardware redundency, evaluation techniques, system design, etc.",,
2020,CompEng 6420,Wireless Ad Hock and Sensor Networks,"Intro to ad hock and sensor networks, IEEE standards, wireless channel issues, quality of service, etc.",,
2020,CompEng 6430,High Speed Networks,"State-of-the-art high speed networks, modeling, simulation, traffic management, etc.",,
2020,CompEng 6440,Network Performance Analysis,Intro to performance analysis and modeling of computer networks.,,
2020,CompEng 6510,Resilient Networks,Reliability and fault tolerence for network centric systems.,,
